official_name,address_txt,id
France Travail - AVS Placement Techniciens,4 Rue Ampère 93200 Saint-Denis,1c33c174-f155-4ea1-954f-afc5d6d4c87e
France Travail - Antony,42 avenue Aristide-Briand 92160 Antony,dd719b79-4379-4784-87ad-f7591106f627
France Travail - Argenteuil,47 boulevard Jean-Allemane 95100 Argenteuil,6d36ae8c-cc0c-44cc-90dd-cd663c4ecad6
France Travail - Arpajon,2 route d'Egly 91290 Arpajon,adafcf8f-15c4-4293-8ead-8b04d4f2668e
France Travail - Asnières-sur-Seine,61 avenue Gabriel-Péri 92600 Asnières-sur-Seine,f6a340c6-3563-4caf-bcd0-93519d5ac973
France Travail - Aubervilliers,124 rue Henri-Barbusse 93300 Aubervilliers,b785f188-0210-4ec9-b257-7e0caaf0c597
France Travail - Aulnay-sous-Bois,135 rue Jacques-Duclos 93600 Aulnay-sous-Bois,996e9ebc-33ff-4167-a3f6-62cfa8735c24
France Travail - Avon,9 avenue du Général-de-Gaulle 77210 Avon,c3b9fdbe-7464-4806-be95-b44f5f9c9976
France Travail - Aéroportuaire - Roissy-Charles-de-Gaulle,5 rue du Cercle 95700 Roissy-en-France,066cdef9-1315-4868-9333-602abc75f010
France Travail - Bagneux,157 rue des Blains 92220 Bagneux,85b23bd7-31d6-4fd2-a0de-024d19c003f2
France Travail - Bayeux,2 boulevard Maréchal-Montgomery 14400 Bayeux Cedex,f28bbeb8-9d22-436d-aff9-7a6965fc873c
France Travail - Bezons,203 rue Michel-Carré 95870 Bezons,9be2781d-9ebd-4582-84e3-d12196f24e1b
France Travail - Bobigny,49 rue Miriam-Makeba 93000 Bobigny,a16824fd-3de3-4c1f-9e02-9a574a5f7e71
France Travail - Bondy,14 rue de la Liberté 93140 Bondy,d9684f07-a331-4b86-bd73-db7846a900b5
France Travail - Boulogne-Billancourt,21 quai Alphonse-le-Gallo 92100 Boulogne-Billancourt,c90c0c6d-061f-4a7f-bece-b096e8ef4504
France Travail - Brie-Comte-Robert,Rue du 19-Mars-1962 77170 Brie-Comte-Robert,a8741eef-03b2-4193-bbab-88644f5e14bd
France Travail - Brétigny-sur-Orge,11 rue Georges-Charpak 91220 Brétigny-sur-Orge,c355ab28-2763-42e6-8411-46496aaad238
France Travail - Cachan,8 rue François-Delage 94230 Cachan,6ad44327-a12b-46c0-a602-8124477f1e7d
France Travail - Cergy,4 rue des Chauffours 95000 Cergy,ca1e6405-f736-478f-b481-817220efbbd0
