Type équipement ou lieu,Nom,Adresse postale,libelle_geographique
Cinéma,CENTRE CULTUEL NELSON MANDELA,11 av. Aime Cesaire 93500 Pantin,Pantin
Cinéma,ELYSEES BIARRITZ,22 r. Quentin Bauchart 75008 Paris 8e Arrondissement,Paris 8e Arrondissement
Cinéma,La lanterne,2 r. de la Legion d'Honneur 78120 Rambouillet,Rambouillet
Cinéma,POLE CULTUREL,av. du General de Gaulle 95140 Garges-lès-Gonesse,Garges-lès-Gonesse
Cinéma,! POC ! SCENE ARTISTIQUE ALFORTVILLE,82 r. Marcel Bourdarias 94140 Alfortville,Alfortville
Cinéma,0SALLE GEORGES BRASSENS,Salle Georges Brassens 91760 Itteville,Itteville
Cinéma,3 CINES ROBESPIERRE,19 av. Maximilien Robespierre 94400 Vitry-sur-Seine,Vitry-sur-Seine
Cinéma,ABEL GANCE,184 bd St Denis 92400 Courbevoie,Courbevoie
Cinéma,ANDRE MALRAUX,28 av. de Verdun 92390 Villeneuve-la-Garenne,Villeneuve-la-Garenne
Cinéma,APOLLO,62 av. de la Republique 77340 Pontault-Combault,Pontault-Combault
Cinéma,ARCEL,15 pl. Leon Casse 91100 Corbeil-Essonnes,Corbeil-Essonnes
Cinéma,ARIEL,99 av. Paul Doumer 92500 Rueil-Malmaison,Rueil-Malmaison
Cinéma,ARIEL HAUTS DE RUEIL,59 av. de Fouilleuse 92500 Rueil-Malmaison,Rueil-Malmaison
Cinéma,ATELIER BARBARA,22-24 r. Alsace Lorraine 94450 Limeil-Brévannes,Limeil-Brévannes
Cinéma,ATMOSPHERE,Parc des Celestins 91460 Marcoussis,Marcoussis
Cinéma,ATRIUM,3 Parvis Robert Schuman 92370 Chaville,Chaville
Cinéma,AUDITORIUM BOURSE TRAVAIL,11 r. du 8 Mai 1945 93000 Bobigny,Bobigny
Cinéma,AUDITORIUM DU CONSERVATOIRE,11 bd Carnot 92340 Bourg-la-Reine,Bourg-la-Reine
Cinéma,Accatone,20 r. Cujas 75000 Paris,Paris
Cinéma,BALZAC,1 r. Balzac 75008 Paris 8e Arrondissement,Paris 8e Arrondissement
Cinéma,BEAUMONT PALACE,6 av. Anatole France 95260 Beaumont-sur-Oise,Beaumont-sur-Oise
Cinéma,BORIS VIAN GRANDE HALLE,211 av. Jean Jaures 75019 Paris 19e Arrondissement,Paris 19e Arrondissement
Cinéma,BRETAGNE,73 bd du Montparnasse 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,BUXY,Centre Commercial Val d'Yerres 2 91800 Boussy-Saint-Antoine,Boussy-Saint-Antoine
Cinéma,C 2 L,25/27/29 r. du Vieux Marche 78100 Saint-Germain-en-Laye,Saint-Germain-en-Laye
Cinéma,C2L CIN'HOCHE,6 r. Hoche 78500 Sartrouville,Sartrouville
Cinéma,C2L POISSY,18 r. Charles de Gaulle 78300 Poissy,Poissy
Cinéma,CALYPSO A,38 r. Victor Basch 91170 Viry-Châtillon,Viry-Châtillon
Cinéma,CAMILLE ST SAENS,15 bd Aristide Briand 92400 Courbevoie,Courbevoie
Cinéma,CAP CINEMA NANTERRE,200 all. de Corse 92000 Nanterre,Nanterre
Cinéma,CAUMARTIN,101 r. St Lazare 75009 Paris 9e Arrondissement,Paris 9e Arrondissement
Cinéma,CENTRE CULTUREL,96 av. des Bruzacques 95280 Jouy-le-Moutier,Jouy-le-Moutier
Cinéma,CENTRE CULTUREL  ORMESSON,22 av. Wladimir d'Ormesson 94490 Ormesson-sur-Marne,Ormesson-sur-Marne
Cinéma,CENTRE D ART ET DE CULTURE,15 bd des Nations-Unies 92190 Meudon,Meudon
Cinéma,CENTRE DES ARTS,12-16 r. de la Liberation 95880 Enghien-les-Bains,Enghien-les-Bains
Cinéma,CENTRE DES BORDS DE MARNE,2 r. de la Prairie 94170 Le Perreux-sur-Marne,Le Perreux-sur-Marne
Cinéma,CENTRE PICASSO,r. Guy de Maupassant 95370 Montigny-lès-Cormeilles,Montigny-lès-Cormeilles
Cinéma,CGR MY PLACE SARCELLES,2 all. Henri Dunant 95200 Sarcelles,Sarcelles
Cinéma,CGR PARIS LILAS,pl. du Maquis du Vercors 75020 Paris 20e Arrondissement,Paris 20e Arrondissement
Cinéma,CHAPLIN DENFERT,24 pl. Denfert Rochereau 75014 Paris 14e Arrondissement,Paris 14e Arrondissement
Cinéma,CHAPLIN SAINT LAMBERT,6 r. Peclet 75015 Paris 15e Arrondissement,Paris 15e Arrondissement
Cinéma,CHRISTINE CINEMA CLUB,4 r. Christine 75006 Paris 6e Arrondissement,Paris 6e Arrondissement
Cinéma,CINE 104,104 av. Jean Lolive 93500 Pantin,Pantin
Cinéma,CINE D ISSY,Mail Raymond Menand 92130 Issy-les-Moulineaux,Issy-les-Moulineaux
Cinéma,CINE GARCHES,86 Grande Rue 92380 Garches,Garches
