official_name,address_txt,id
Commissariat de Police de Sevran,5-7 rue Gabriel-Péri 93270 Sevran,480079e6-f1ce-4275-9e69-f1143b5a20fd
Commissariat de police  de Puteaux-La-Défense,9 place de la Défense 92400 Courbevoie,2ba7602f-cdb8-4ca9-9c29-b55dd0bbce05
Commissariat de police - Permanence accueil-plaintes Villeneuve-Le-Roi,Locaux Police Municipale  56 avenue Sadi-Carnot 94290 Villeneuve-le-Roi,979d8ea8-e7da-42a6-adff-b342fb0e3bcc
Commissariat de police - Poste de Police Orly Tech,7 allée du Commandant Mouchotte 91550 Paray-Vieille-Poste,4a12ae4b-a313-4ea7-83f3-8971d2a018ce
Commissariat de police - Poste de plaintes Paris 6ème arrondissement,78 rue Bonaparte 75006 Paris Cedex 06,efb814dc-0a48-4057-b4f8-717dc0fe1d50
Commissariat de police - Poste de plaintes Paris centre,61 rue Jean-Jacques Rousseau 75001 Paris Cedex 01,73cdfca8-4832-4c60-9f3e-a1c6333bf548
Commissariat de police - Poste de plaintes de Paris 15e arrondissement,44 rue Linois 75015 Paris Cedex 15,a41dc7e2-52b2-47a6-9d02-5750bb249cb0
Commissariat de police - Poste de plaintes de Paris 18e arrondissement,34 rue de la Goutte-d'Or 75018 Paris,1c38947d-2958-4e4b-aafe-b663a4e55b3b
Commissariat de police - Poste de plaintes de Paris 19e arrondissement,3 rue Riquet 75019 Paris,e5593be1-8561-4f9b-b505-ef220b6bd801
Commissariat de police - Poste de plaintes de Paris 8e arrondissement,1 rue de Lisbone 75008 Paris Cedex 8,ede12056-1e72-436f-a10e-42d456a93628
Commissariat de police - Poste de plaintes de Paris 9e arrondissement,21 rue du Faubourg Saint-Antoine 75009 Paris,bf8f9c8b-3bc0-4806-88bc-9cf6debab642
Commissariat de police Central - Poste de plaintes Paris de 16e arrondissement,75 rue de la Faisanderie 75016 Paris,d4fdc942-ae3c-499c-92f8-2f4e80991d11
Commissariat de police Central - Poste de plaintes Paris de 16e arrondissement,4 Rue Bouquet de Longchamp 75016 Paris,3ea84e11-e28d-4272-97fe-dfd301e63ad8
Commissariat de police d'Alfortville,26 rue du Port-à-l’Anglais 94140 Alfortville,2d0b065d-d6e2-4dbd-9e23-aada5efa2443
Commissariat de police d'Antony,50 avenue Galliéni 92160 Antony,f2655ef6-25a6-48e0-b3d7-6e4dd3824c3b
Commissariat de police d'Argenteuil,21 avenue du Maréchal-Foch 95100 Argenteuil,d9f2b251-ba17-4418-b760-a9c7b53be9cf
Commissariat de police d'Arpajon,10 rue du Docteur-Louis-Babin 91290 Arpajon,ab9f1d70-74bd-45e5-9843-ea5341d4003c
Commissariat de police d'Asnières-sur-Seine,12 rue du Château 92600 Asnières-sur-Seine,99bff3d7-8d86-4780-933d-6e4b6945f0b8
Commissariat de police d'Athis-Mons,21 rue Jean-Baptiste-de-la-Salle 91200 Athis-Mons,c7818fab-57d0-4507-99fb-2f4ef439673b
Commissariat de police d'Aubervilliers,16 rue Léopold-Réchossière 93300 Aubervilliers,0473aacf-9e17-47c7-8b2a-defc67c1c5c0
Commissariat de police d'Aulnay-sous-Bois,26 rue Louis-Barrault 93600 Aulnay-sous-Bois,366e948b-308d-4fdf-b6c1-4717247bd08e
Commissariat de police d'Enghien-les-Bains,20 rue Malville 95880 Enghien-les-Bains,d72b6c03-3204-407f-a244-d7db6cff5096
Commissariat de police d'Ermont,201 rue Richepin 95120 Ermont,39ad7264-3fea-4680-9d98-58929527f68f
Commissariat de police d'Evry-Corbeil,Boulevard de France 91000 Évry,f10d7384-79c6-4153-a8fa-87f830a10a22
Commissariat de police d'Issy-les-Moulineaux,22 avenue Victor-Cresson 92130 Issy-les-Moulineaux,a29a5ffa-d2e8-4f41-96da-412b90b4352d
Commissariat de police d'Ivry-sur-Seine,Place Marcel-Cachin 94200 Ivry-sur-Seine,f99bc53f-cb96-4104-a8df-13db64fd2bbc
Commissariat de police d'Orly,Hôtel de police  2 avenue de Barcelone 94396 Orly,a13e0d98-86df-4aec-9856-fadaf6c1eb91
Commissariat de police d'Épernay,1 rue du Général-Silvester 51200 Épernay,3d0f4b5b-4848-4c1a-bf09-9c06e753f662
Commissariat de police d'Épinay-sur-Seine,40 rue de Quetigny 93800 Épinay-sur-Seine,415b33d0-1c2e-404b-811d-26dc4d1f93f1
Commissariat de police d'Étampes,7 avenue de Paris 91150 Étampes,a64b6e8d-0c3f-4865-bae2-46e46ded20c7
Commissariat de police de Bagneux,1 rue des Mathurins 92220 Bagneux,d1ae255c-caa6-4806-aeb3-623d977a589e
Commissariat de police de Bezons,24 avenue Gabriel-Péri 95870 Bezons,e824daf0-605e-4bae-8072-1bec3ae595ef
Commissariat de police de Bobigny,45 rue de Carency 93000 Bobigny,8e246eb1-f0db-44f5-8598-308e6048346f
Commissariat de police de Bois-Colombe,5 rue du 8 Mai 1945 92700 Colombes,a524bd79-21c0-4afa-a675-2fb0ae5698c0
Commissariat de police de Boissy-Saint-Léger,1 rue Jacques-Prévert 94470 Boissy-Saint-Léger,9405f591-d172-49e2-895d-67a632d70cb3
Commissariat de police de Bondy,1 rue Gaston Defferre 93140 Bondy,17c2e023-97dc-4685-957a-5504458e3102
Commissariat de police de Boulogne-Billancourt,24 avenue André Morizet 92100 Boulogne-Billancourt,dd4098dc-41bf-48ed-a894-b318ed2e074c
Commissariat de police de Brie-Comte-Robert,2 boulevard Jean Jaurès 77170 Brie-Comte-Robert,e6545a46-25f8-4aa3-ae5c-e1baf7166d0b
Commissariat de police de Brunoy,4 boulevard du Général-de-Gaulle 91800 Brunoy,e6fd046a-9597-46e2-8e62-6683349bea08
Commissariat de police de Brétigny-sur-Orge,39 avenue Georges Guynemer 91220 Brétigny-sur-Orge,bf655bcf-b2dd-4c22-9db1-114c6c69832d
Commissariat de police de Cachan,15 rue Marx Dormoy 94230 Cachan,06b6a0d2-cb8e-475f-a4f7-71f7fff764f4
Commissariat de police de Cergy,4 rue de la Croix-des-Maheux 95000 Cergy,5af19715-8a7b-4b63-bd75-bf19285f92b0
Commissariat de police de Cergy-Saint-Christophe,12 rue de l'Abondance 95800 Cergy,2922d3d5-9d14-40fc-9af8-e54e501ffc22
Commissariat de police de Champigny-sur-Marne,7 place Rodin 94500 Champigny-sur-Marne,3ae45d4b-f49e-4ee5-8e48-1cd9d5a6cf92
Commissariat de police de Champs-sur-Marne,Rue Flandres-Dunkerque 77420 Champs-sur-Marne,3e1194a2-d72e-42d4-8f0d-6539a5b0929b
Commissariat de police de Charenton-le-Pont,26 rue de Conflans 94220 Charenton-le-Pont,3119e565-baa8-4d19-a872-6fbf6465314f
Commissariat de police de Chelles,2 avenue de Claye 77505 Chelles,87862143-7ba9-4e71-bbf9-415dfffac860
Commissariat de police de Chennevières-sur-Marne,8 rue du Général-de-Gaulle 94430 Chennevières-sur-Marne,2e4eef36-9e56-44a4-a9d6-55fd32c001fe
Commissariat de police de Chessy,Rue du Grand-Secours 77700 Chessy,b45e71c2-84d8-4cd9-8260-decc522acb50
Commissariat de police de Choisy-le-Roi,9 rue Léon-Gourdault 94600 Choisy-le-Roi,2c0f6fd4-9801-44ca-b47d-3bf70b0a26d4
Commissariat de police de Châtenay-Malabry,28 rue du Docteur-le-Savoureux 92290 Châtenay-Malabry,116840eb-9a7b-43ce-a0db-3f23b0013971
Commissariat de police de Clamart,1 avenue Jean-Jaurès 92140 Clamart,ac5f9ac5-7e49-403e-88cc-06c565f1aa35
Commissariat de police de Clichy-la-Garenne,96 rue Martre 92110 Clichy,944ca306-0c14-4ca4-bb23-7928189ffc37
Commissariat de police de Clichy-sous-Bois,1 Carrefour des Libertés 93390 Clichy-sous-Bois,f4f08089-30c8-4e52-8f77-637b1b0b3cf3
Commissariat de police de Colombes,5 rue du 8-Mai-1945 92700 Colombes,0fd7c7aa-7630-40ed-80be-f966d201d89a
